"StateAbbr","PlaceName","Population2010","ACCESS","ARTHRITIS","BINGE","BPHIGH","BPMED","CANCER","CASTHMA","CHD","CHECKUP","CHOLSCREEN","COLON_SCREEN","COPD","COREM","COREW","CSMOKING","DENTAL","DIABETES","DRUGS","HIGHCHOL","KIDNEY","LPA","MAMMOUSE","MHLTH","OBESITY","PAPTEST","PHLTH","SLEEP","STROKE","TEETHLOST","Geolocation"
"CA","Alameda",73812,10.9,20.3,14.2,26.4,71.2,6.2,7.9,5,"Third25th",76.6,66.2,4.7,33.1,29.2,11.8,"AboveAvg",8.9,"BelowAvg",36.9,2.3,19.2,76.8,"Lowest25th",15.6,80.9,10.2,32.2,2.4,"Good","(37.76508490310, -122.266489842)"
"CA","Alhambra",83089,18.7,17.6,11.6,27.5,70.5,4.8,6.8,5,"Third25th",74,54.6,4.2,22.2,24.5,12.1,"NearAvg",11.4,"BelowAvg",40.4,2.4,25.3,77.5,"Lowest25th",14.2,73.3,11.8,38.3,2.5,"Good","(34.08397343830, -118.135514119)"
"CA","Anaheim",336265,23.7,17.5,17.3,25.5,67.4,4.7,8.4,4.9,"Lowest25th",71.8,57,5.1,24.3,26.8,15.7,"BelowAvg",9.7,"BelowAvg",34.2,2.4,25.6,78.4,"Third25th",17.9,77.6,13,34.2,2.4,"Good","(33.83890769960, -117.857613481)"
"CA","Antioch",102372,17.5,20.4,16.3,28.7,68.1,5.2,9.2,5.3,"Second25th",74.1,60.2,5.8,26.9,25.4,16.5,"NearAvg",9.9,"BelowAvg",35.3,2.4,24,76.1,"Third25th",23.9,81.1,13.1,38.3,2.7,"Good","(37.97770429220, -121.796606971)"
"CA","Apple Valley",69135,17.2,25.3,15.7,32.4,73.4,7,9.5,7.2,"Third25th",73.9,61.1,7.6,29.4,27.7,17.3,"BelowAvg",11.4,"BelowAvg",39.6,2.9,23.7,75.5,"Third25th",20.6,80.5,14.8,35.8,3.5,"Good","(34.53159849480, -117.211012664)"
"CA","Bakersfield",347483,22.4,19.5,17.9,29.2,67.3,5.1,9.2,5.4,"Second25th",69.1,58.7,6,25.5,26.3,18.2,"NearAvg",10,"AboveAvg",37.5,2.5,26.4,75.3,"Top25th",23.6,79.7,13.8,35.1,2.7,"Moderate","(35.35133028550, -119.029786003)"
"CA","Baldwin Park",75390,32,16.9,15.4,24.7,65.2,3.8,8,5.1,"Lowest25th",69.6,48.8,4.7,19.6,20.2,15.8,"BelowAvg",12.3,"BelowAvg",37.9,2.6,28.9,75.2,"Third25th",20.5,77.1,15.3,39.2,2.5,"Good","(34.08287151900, -117.972100918)"
"CA","Bellflower",76616,24.4,18.2,15.8,26.6,66.6,4.6,8.6,5.2,"Second25th",71.6,54.8,5.4,22.7,23.4,16.5,"BelowAvg",10.9,"BelowAvg",37.5,2.5,25.2,76.9,"Third25th",20.9,79.3,14.1,39.4,2.7,"Good","(33.88804179230, -118.127100236)"
"CA","Berkeley",112580,11.9,16,16.9,22.1,67.2,5.1,8.4,3.9,"Lowest25th",65.2,70.2,3.8,34.7,29.8,11.4,"AboveAvg",6.5,"BelowAvg",32.9,1.9,16.1,78.2,"Lowest25th",18.4,80.9,8.6,30.5,1.9,"Good","(37.87256787650, -122.274907975)"
"CA","Buena Park",80530,18.8,17.7,16.1,26.3,69.2,4.9,7.9,4.8,"Second25th",73.7,57.8,4.8,24.7,28.3,14.2,"NearAvg",9.7,"BelowAvg",35.1,2.3,24.2,79.2,"Second25th",15.9,76.8,11.8,34.1,2.4,"Good","(33.85721268440, -118.004517591)"
"CA","Burbank",103340,13.3,19.1,17.4,26,68.4,6.2,7.9,5.3,"Third25th",76.8,63.6,4.9,27.4,28.6,13.5,"AboveAvg",8.6,"BelowAvg",38.3,2.3,18.2,79.2,"Lowest25th",17.7,83.5,11,34.3,2.4,"Good","(34.18797996050, -118.323429032)"
"CA","Carlsbad",105328,8.9,21.3,18.2,27.6,71.8,7.1,7.8,5.5,"Third25th",79.3,67.9,4.9,32.5,30.6,11.4,"AboveAvg",8.2,"BelowAvg",36,2.4,16.5,79.1,"Lowest25th",17,85.2,9.6,31.3,2.4,"Good","(33.12480510260, -117.282903303)"
"CA","Carson",91714,19.3,19.6,13.6,30.3,71.9,5.2,8,5.5,"Third25th",75.9,59.5,4.8,21.7,25.2,13.4,"NearAvg",12.6,"BelowAvg",39.6,2.7,24.1,79.4,"Second25th",19,79.3,12.6,39.4,3,"Good","(33.83740830010, -118.255936422)"
"CA","Chico",86187,15.6,18.4,20.3,25.5,63.6,5.4,9.6,4.9,"Lowest25th",64.4,61,5.7,28.6,28.1,17,"NearAvg",7,"AboveAvg",35.1,2.1,19.5,75.6,"Third25th",21.9,78.6,11.5,32.9,2.3,"Good","(39.75685036680, -121.815983972)"
"CA","Chino",77983,18.8,17.1,18.3,24.2,64.5,4.4,8.3,4.4,"Lowest25th",69.8,59.1,4.6,27.2,26.4,15,"NearAvg",9.1,"BelowAvg",33.7,2.2,21.4,77.7,"Second25th",19,83.3,11.7,36.7,2.1,"Good","(33.98358812600, -117.665296584)"
"CA","Chino Hills",74799,10.8,16.3,16.4,24.4,66.1,4.7,7.3,3.7,"Second25th",73.7,63.4,3.7,29.4,31.5,11.2,"AboveAvg",8,"BelowAvg",34.8,1.9,17.4,80.3,"Lowest25th",15.1,83.3,9,35,1.8,"Good","(33.95077454600, -117.725326968)"
"CA","Chula Vista",243916,20.3,18.1,17.1,25,68.2,4.7,7.8,5,"Second25th",73,58.8,4.6,26.8,24.4,13.1,"NearAvg",10.6,"BelowAvg",33.8,2.5,23.7,76.7,"Second25th",18.6,81.6,11.9,36,2.4,"Good","(32.62829642620, -117.010042407)"
"CA","Citrus Heights",83301,13.9,22.8,18.1,29.8,71.2,6.6,9.5,6.2,"Lowest25th",74.4,63.5,6.8,29.6,28.1,18.8,"NearAvg",9.1,"AboveAvg",35.4,2.5,20.5,77.9,"Third25th",20.7,82.3,13,31.9,2.9,"Good","(38.69477883420, -121.287991502)"
"CA","Clovis",95631,14.1,20.3,17.8,27.5,69,5.9,8.8,5.4,"Second25th",71.1,64.9,5.7,30.6,29,13.9,"AboveAvg",8.8,"BelowAvg",36.9,2.3,21.7,77.4,"Second25th",18.6,81.8,11.7,29.7,2.5,"Good","(36.82894001790, -119.686652850)"
"CA","Compton",96455,34.7,19.6,14.9,30.2,68.3,4.1,10.2,5.9,"Second25th",68.7,49.9,6.3,17.5,18.4,20,"BelowAvg",14.1,"BelowAvg",36.6,3,30.8,76.6,"Top25th",26.9,78.5,17.9,43.3,3.8,"Poor","(33.89296569300, -118.227506568)"
"CA","Concord",122067,16,20.4,16.9,27.9,68.7,5.9,8.5,5.3,"Second25th",75.2,64,5.3,30,28.8,14.7,"AboveAvg",8.9,"BelowAvg",36.2,2.4,21.6,77,"Second25th",22,81.9,11.9,35.3,2.5,"Good","(37.97218103070, -122.001588036)"
"CA","Corona",152374,17.8,18.1,17.8,26.6,62.5,4.8,8.5,4.5,"Second25th",73.2,60.9,4.8,25.7,28.1,15.2,"AboveAvg",8.7,"BelowAvg",34.9,2.3,22.5,78.9,"Second25th",20.7,82.5,11.7,37.2,2.2,"Good","(33.86235717870, -117.564224471)"
"CA","Costa Mesa",109960,17.5,16.8,19.9,23.8,65.8,5,8.4,4.5,"Lowest25th",72.2,61.2,4.9,27.1,29.4,15.1,"AboveAvg",7.7,"AboveAvg",32.6,2.1,20.6,79.5,"Second25th",17.7,81.1,11.2,32.1,2.2,"Good","(33.66676513530, -117.913504750)"
"CA","Daly City",101123,14.7,17.7,12.6,25.8,71.6,4.7,6.9,4.5,"Second25th",75.4,60,3.9,25.8,29.8,11.1,"AboveAvg",10.1,"BelowAvg",35.8,2.2,23.3,76.9,"Lowest25th",13.9,75.1,9.9,35,2.2,"Good","(37.68615522760, -122.468298024)"
"CA","Downey",111772,24.2,17.6,16.6,25.1,66.6,4.8,7.7,5.2,"Second25th",72.8,56.9,4.6,23.8,24.2,13.7,"NearAvg",10.6,"BelowAvg",37.6,2.5,23.4,78,"Second25th",20.3,82.5,13,36.7,2.4,"Good","(33.93786725600, -118.131150116)"
"CA","El Cajon",99478,20.9,22.3,17.6,27.8,69.7,5.8,9.7,6.3,"Lowest25th",71.6,56.7,7.6,27.7,24.2,19.4,"BelowAvg",10.5,"AboveAvg",35.3,2.7,25.9,73.3,"Top25th",20.8,77.4,14.9,36.9,3.2,"Moderate","(32.80165819210, -116.960483614)"
"CA","Elk Grove",153015,11.9,18.2,16.2,27.7,68.5,5.1,8.3,4.4,"Second25th",74.7,63.7,4.6,28.3,29.5,14.8,"AboveAvg",8.7,"BelowAvg",33.4,2.2,19.1,80.6,"Second25th",17.9,82.4,10.4,33.5,2.2,"Good","(38.41599920060, -121.384137762)"
"CA","El Monte",113475,34.3,17.9,13.5,26.6,66.9,3.9,8.2,5.6,"Lowest25th",68.4,45.6,5.5,18.8,19.6,17.5,"BelowAvg",13.2,"BelowAvg",39.4,2.7,32.1,73.2,"Top25th",19.7,71.6,16.7,40.6,2.8,"Moderate","(34.07391965300, -118.029071951)"
"CA","Escondido",143911,24.7,20.7,17.3,26.2,68.7,5.4,9,5.9,"Lowest25th",71.1,57.2,6.6,27.3,24,17.3,"BelowAvg",10.6,"AboveAvg",34.7,2.7,26.4,74.1,"Top25th",20.3,78.2,14.5,36.5,2.9,"Moderate","(33.13469529550, -117.072122618)"
"CA","Fairfield",105321,16.8,20.6,16.8,28.9,70.1,5.3,9,5.2,"Second25th",72.8,61.4,5.5,26.7,27.9,16,"NearAvg",9.9,"BelowAvg",35.7,2.5,22.5,75.4,"Third25th",20.9,79.1,12.4,35.4,2.7,"Good","(38.25584463430, -122.039303253)"
"CA","Folsom",72203,9.5,17.8,19.7,26.5,67.1,5.8,7.9,4.4,"Second25th",77,69.1,4.2,32.5,33.1,14,"AboveAvg",7,"AboveAvg",32.7,2.1,15.2,81.9,"Lowest25th",17.9,86.9,9,30.5,2,"Good","(38.67504943280, -121.147605753)"
"CA","Fontana",196069,25.3,17.1,17.3,24.6,63.7,3.8,9,4.5,"Lowest25th",66.6,54.1,5,24.8,23.3,16.5,"BelowAvg",10.1,"BelowAvg",33.3,2.3,25,76,"Third25th",21.3,81.4,13.8,38.4,2.3,"Moderate","(34.09742278330, -117.459241285)"
"CA","Fremont",214089,10.9,16.4,13.7,22.8,67.8,4.9,6.9,3.9,"Second25th",75,65.6,3.5,32.6,30.3,10.5,"AboveAvg",8,"BelowAvg",34.6,2,18.7,77.4,"Lowest25th",12.9,80.5,8.6,33.1,1.9,"Good","(37.52786854050, -121.984121512)"
"CA","Fresno",494665,26.2,20.2,15.7,28.8,68,4.8,9.7,5.9,"Lowest25th",64.1,56.4,6.6,27,24.5,17.1,"BelowAvg",11.2,"BelowAvg",37.2,2.6,29.5,74.2,"Top25th",22.2,75.5,15.4,32.9,3.1,"Moderate","(36.78267867110, -119.794126569)"
"CA","Fullerton",135161,17.6,17.7,16.8,26,69.2,5.3,8,4.9,"Second25th",72.7,60.3,4.8,26.5,29.5,13.7,"AboveAvg",8.8,"BelowAvg",34.8,2.2,22.2,79.6,"Second25th",16.3,77.9,11.2,32.5,2.3,"Good","(33.88403780130, -117.927850895)"
"CA","Garden Grove",170883,21.8,18.2,14.7,26.9,69.7,4.7,8,5,"Second25th",72.9,53.9,5.3,22.6,26.3,15.6,"BelowAvg",10.7,"BelowAvg",35.9,2.4,27.9,77.3,"Second25th",15,72.2,13,35.8,2.6,"Good","(33.77869406350, -117.960111162)"
"CA","Glendale",191719,14.9,21.6,15.4,29.1,71.2,6.7,8.4,6.3,"Third25th",76.5,60.5,6.2,26.4,26.9,15,"AboveAvg",10,"BelowAvg",40.9,2.6,21,77,"Second25th",18,79.5,13,35,2.9,"Good","(34.18188937300, -118.246766660)"
"CA","Hawthorne",84293,26,17.6,15.7,27.5,65.7,4.2,9.2,4.9,"Second25th",70.7,54.2,5.2,21.3,22.3,17.3,"BelowAvg",11.4,"BelowAvg",35.9,2.5,25.6,77.8,"Top25th",23.4,80.5,14.4,41.1,2.8,"Good","(33.91466770100, -118.347667728)"
"CA","Hayward",144186,20.2,18.7,15.1,24.2,67.8,4.8,8.5,4.9,"Second25th",71.3,60.2,4.9,29.2,25.2,14.9,"NearAvg",10.1,"BelowAvg",34.2,2.4,24.2,74.4,"Second25th",18.4,79,12.3,35.8,2.6,"Good","(37.63295915510, -122.077051051)"
"CA","Hemet",78657,23.3,29.9,13.2,38.3,74.3,8.3,9.8,9.6,"Third25th",75.8,58.3,9.6,25.4,24.7,18.4,"BelowAvg",13.4,"BelowAvg",42.9,3.5,30.7,73.6,"Top25th",24.1,76.3,17.9,36.9,4.6,"Poor","(33.73522773110, -116.994605005)"
"CA","Hesperia",90173,23.4,22,16.6,28.4,68.5,5.3,9.8,6.2,"Lowest25th",68.6,54,7.3,26.3,23.6,19.5,"BelowAvg",11.1,"AboveAvg",36.9,2.6,26.3,73.3,"Top25th",22,79,16,37.8,3.1,"Poor","(34.39734767730, -117.314392219)"
"CA","Huntington Beach",189992,11.4,19.7,18.8,27.2,71,6.5,8.1,5.2,"Second25th",78.4,66.9,5,28.7,32.7,13.1,"AboveAvg",8.1,"BelowAvg",35.9,2.3,18.3,81.2,"Lowest25th",15.8,82.6,10.2,30.3,2.3,"Good","(33.69527490770, -118.001810806)"
"CA","Indio",76036,29.2,22.3,15.5,31,67,5.6,9.1,6.6,"Second25th",71.5,57.7,6.5,25.5,25.9,17.3,"BelowAvg",11.9,"BelowAvg",38.8,2.9,29.3,75.5,"Top25th",24.3,78.7,16.1,37.8,3.1,"Moderate","(33.72980678370, -116.237258141)"
"CA","Inglewood",109673,27.6,20.7,14.4,32.6,70.4,4.7,10,5.9,"Third25th",72.7,55.7,6,19.3,21.3,17.9,"BelowAvg",14,"BelowAvg",37.6,2.9,27.3,79.2,"Top25th",26.2,81.2,16.2,42.7,3.7,"Moderate","(33.95657480180, -118.344444926)"
"CA","Irvine",212375,9.9,14.3,17.1,22.8,66.1,4.7,7.3,3.4,"Second25th",72.2,65.6,3.4,28.1,32.7,10.5,"AboveAvg",6.3,"BelowAvg",32.5,1.7,16.5,82.2,"Lowest25th",13.4,80,7.8,31,1.6,"Good","(33.67801089040, -117.773633283)"
"CA","Lake Forest",77264,11.4,17.5,19.4,24.7,67.9,5.6,7.8,4.4,"Second25th",77.4,65.2,4.4,27.4,30.9,12.3,"AboveAvg",7.5,"BelowAvg",34,2.1,17.7,81.6,"Lowest25th",15.6,83.6,9.7,30.8,2,"Good","(33.66341289480, -117.670683341)"
"CA","Lakewood",80048,14.7,18.8,16.6,26.3,68.4,5.8,7.8,5.1,"Third25th",76.9,62.1,4.8,26.1,28.4,13.7,"AboveAvg",9.3,"BelowAvg",38.2,2.3,19.8,79.4,"Second25th",17.5,82.5,11.3,36.3,2.4,"Good","(33.84705319410, -118.122204765)"
"CA","Lancaster",156633,22.9,19.4,17,27.4,66.8,4.9,9.4,5.6,"Second25th",71.6,54.4,6.3,22.9,22.9,18.8,"BelowAvg",10.7,"AboveAvg",37.1,2.5,24.6,76,"Top25th",22.5,79.5,14.8,39.6,3,"Moderate","(34.69343470170, -118.175306356)"
"CA","Livermore",80968,11.1,19.8,18.2,23.3,67.7,6.2,8.2,4.8,"Second25th",77.2,67.7,4.8,34.6,30.5,13.1,"AboveAvg",7.7,"BelowAvg",34.9,2.2,17.3,77,"Lowest25th",16.9,85.4,10.2,31.1,2.2,"Good","(37.68651013610, -121.764357841)"
"CA","Long Beach",462257,22.5,18.1,16.1,26.7,66.7,4.9,8.6,5.1,"Second25th",71.5,57.5,5.3,24.7,25.9,16.1,"BelowAvg",10.2,"BelowAvg",37.4,2.4,23.4,77.8,"Third25th",20.7,79.1,13.5,38.2,2.7,"Good","(33.80601448250, -118.160894146)"
"CA","Los Angeles",3792621,25.1,18.3,15.9,27.1,67.2,4.9,8.6,5.4,"Second25th",71,55.9,5.4,24,24.5,16,"BelowAvg",10.9,"BelowAvg",38,2.5,24.6,76.9,"Third25th",21.1,78.8,14.3,37.7,2.8,"Good","(34.11822778980, -118.408500088)"
"CA","Lynwood",69772,39.8,17.2,15.6,25.4,63.2,3.4,9.6,5.3,"Lowest25th",65.9,44.5,5.6,17.4,16.8,19.7,"BelowAvg",12.9,"BelowAvg",36.2,2.8,31.9,74,"Top25th",25.5,76.9,18.3,41.5,2.9,"Poor","(33.92396168670, -118.201648375)"
"CA","Manteca",67096,18,20.8,17.5,29.9,69.2,5.5,9.1,5.6,"Lowest25th",73.2,60.9,6,28.3,26.7,17.3,"NearAvg",9.4,"AboveAvg",38.1,2.4,24.9,75.9,"Third25th",21.3,81.8,13,35.1,2.7,"Good","(37.79619251020, -121.231230612)"
"CA","Menifee",77519,16.1,25.5,15.9,33.2,71.6,7.6,8.8,7.4,"Third25th",78,64.3,6.9,27.1,28.6,15.2,"AboveAvg",10.8,"BelowAvg",39.7,2.9,24,77.4,"Second25th",20.8,82.4,13.4,35.6,3.4,"Good","(33.69095330450, -117.184876990)"
"CA","Merced",78958,27,20.1,15.2,31.2,66.9,4.7,9.7,5.9,"Lowest25th",63.1,52.5,6.6,25.2,22.1,18.8,"BelowAvg",10.9,"BelowAvg",38.1,2.7,29.2,71.6,"Top25th",24.6,74.3,16,36,3,"Poor","(37.30558632170, -120.477710571)"
"CA","Milpitas",66790,12.9,14.7,12.6,24.2,66.4,4.1,6.8,3.6,"Second25th",74.7,59.9,3.4,25,30.7,10.9,"AboveAvg",8.6,"BelowAvg",34.1,2,20.8,77,"Lowest25th",12.2,76.3,8.7,36.3,1.8,"Good","(37.43386976300, -121.892083025)"
"CA","Mission Viejo",93305,9.3,20.3,18.5,28,72.1,7.1,7.8,5.3,"Third25th",80.4,68.2,4.8,29.5,33.3,11.5,"AboveAvg",8,"BelowAvg",36.7,2.3,16.9,82.1,"Lowest25th",15.5,84.6,9.7,29.2,2.3,"Good","(33.60959768910, -117.655029608)"
"CA","Modesto",201165,20.5,22.7,16.4,29.8,70.8,5.9,9.4,6.4,"Second25th",70.4,59.2,7,26.5,26.7,18,"BelowAvg",10.6,"BelowAvg",37.5,2.7,25.6,76.6,"Top25th",23.4,78,14.8,35.4,3.1,"Moderate","(37.66154782210, -120.988548061)"
"CA","Moreno Valley",193365,25.3,19,16.4,28.7,62.9,4.2,9.7,4.9,"Second25th",69.2,54.6,5.7,22.3,23.9,18.6,"BelowAvg",10.6,"BelowAvg",34.9,2.5,27.9,76.8,"Top25th",24.5,79,14.7,40.7,2.7,"Moderate","(33.92443141120, -117.204501895)"
"CA","Mountain View",74066,10.4,15.4,16.4,24.1,65.4,5.1,7.3,3.8,"Second25th",75,66.4,3.4,29.7,32.8,9.9,"AboveAvg",6.8,"BelowAvg",33,2,15.5,78.5,"Lowest25th",16,83.9,8,31.7,1.7,"Good","(37.39992523790, -122.079544343)"
"CA","Murrieta",103466,13,19.7,18.1,27.5,64.9,5.8,8.5,4.9,"Second25th",75.5,64.1,5,28.4,31.1,14.7,"AboveAvg",8,"BelowAvg",35.6,2.2,20.1,79.1,"Second25th",19.6,83.6,10.8,36,2.3,"Good","(33.57197433560, -117.190921143)"
"CA","Napa",76915,17.2,22.3,17.2,28.6,70.6,6.6,8.8,6.2,"Second25th",74.9,62.8,6.3,28.1,29,15.3,"AboveAvg",9.4,"BelowAvg",37.2,2.6,21.9,75.8,"Second25th",20.5,82.6,12.9,30.6,2.8,"Good","(38.29804246490, -122.301093331)"
"CA","Newport Beach",85186,7.2,20.6,18.5,29.4,73.8,7.8,7.6,5.6,"Third25th",80.4,71.1,4.5,31.2,34.7,10,"AboveAvg",7.4,"BelowAvg",37.4,2.3,14.6,82.5,"Lowest25th",15.5,85.6,8.7,26.9,2.3,"Good","(33.61501036070, -117.867364631)"
